store_id,department,date,weekly_sales,is_holiday
1,1,2022-01-01,119075.96,1
1,2,2022-01-01,119107.85,1
1,3,2022-01-01,84369.88,1
1,4,2022-01-01,88445.24,1
1,5,2022-01-01,65159.85,1
1,6,2022-01-01,99015.94,1
1,7,2022-01-01,157858.77,1
1,8,2022-01-01,58702.96,1
1,9,2022-01-01,199677.02,1
1,10,2022-01-01,139744.34,1
1,11,2022-01-01,120637.14,1
1,12,2022-01-01,195803.99,1
1,13,2022-01-01,17652.27,1
1,14,2022-01-01,106221.35,1
1,15,2022-01-01,108400.37,1
1,16,2022-01-01,143683.49,1
1,17,2022-01-01,112557.87,1
1,18,2022-01-01,141632.7,1
1,19,2022-01-01,221089.54,1
1,20,2022-01-01,196388.8,1
1,1,2022-01-08,35525.05,0
1,2,2022-01-08,64660.95,0
1,3,2022-01-08,72545.36,0
1,4,2022-01-08,80907.98,0
1,5,2022-01-08,79834.36,0
1,6,2022-01-08,141783.95,0
1,7,2022-01-08,61825.05,0
1,8,2022-01-08,149223.88,0
1,9,2022-01-08,58617.76,0
1,10,2022-01-08,29028.88,0
1,11,2022-01-08,99586.49,0
1,12,2022-01-08,128878.91,0
1,13,2022-01-08,33039.42,0
1,14,2022-01-08,126498.57,0
1,15,2022-01-08,77481.65,0
1,16,2022-01-08,27700.62,0
1,17,2022-01-08,108142.29,0
1,18,2022-01-08,173172.47,0
1,19,2022-01-08,192697.21,0
1,20,2022-01-08,125160.56,0
1,1,2022-01-15,14847.56,0
1,2,2022-01-15,59062.04,0
1,3,2022-01-15,42031.78,0
1,4,2022-01-15,59460.16,0
1,5,2022-01-15,70838.58,0
1,6,2022-01-15,156172.11,0
1,7,2022-01-15,36228.49,0
1,8,2022-01-15,85576.78,0
1,9,2022-01-15,68995.36,0
1,10,2022-01-15,103601.96,0
1,11,2022-01-15,102012.37,0
1,12,2022-01-15,48297.97,0
1,13,2022-01-15,30783.76,0
1,14,2022-01-15,144517.29,0
1,15,2022-01-15,141462.89,0
1,16,2022-01-15,82885.25,0
1,17,2022-01-15,181046.29,0
1,18,2022-01-15,114657.41,0
1,19,2022-01-15,217133.86,0
1,20,2022-01-15,175490.21,0
1,1,2022-01-22,45254.57,0
1,2,2022-01-22,92061.7,0
1,3,2022-01-22,77479.42,0
1,4,2022-01-22,80873.81,0
1,5,2022-01-22,122319.72,0
1,6,2022-01-22,39072.18,0
1,7,2022-01-22,39692.33,0
1,8,2022-01-22,35813.47,0
1,9,2022-01-22,141179.76,0
1,10,2022-01-22,137150.67,0
1,11,2022-01-22,99104.2,0
1,12,2022-01-22,96995.4,0
1,13,2022-01-22,178580.04,0
1,14,2022-01-22,197307.34,0
1,15,2022-01-22,177368.81,0
1,16,2022-01-22,221642.52,0
1,17,2022-01-22,91152.25,0
1,18,2022-01-22,180456.39,0
1,19,2022-01-22,18487.12,0
1,20,2022-01-22,163783.68,0
1,1,2022-01-29,15166.69,0
1,2,2022-01-29,103783.48,0
1,3,2022-01-29,87758.24,0
1,4,2022-01-29,46863.66,0
1,5,2022-01-29,57870.03,0
1,6,2022-01-29,78543.76,0
1,7,2022-01-29,112263.75,0
1,8,2022-01-29,117091.06,0
1,9,2022-01-29,70219.86,0
1,10,2022-01-29,37674.5,0
1,11,2022-01-29,32119.48,0
1,12,2022-01-29,69251.33,0
1,13,2022-01-29,64688.44,0
1,14,2022-01-29,149561.73,0
1,15,2022-01-29,58943.36,0
1,16,2022-01-29,17233.0,0
1,17,2022-01-29,160688.13,0
1,18,2022-01-29,60265.47,0
1,19,2022-01-29,119957.95,0
1,20,2022-01-29,37076.43,0
1,1,2022-02-05,15601.13,0
1,2,2022-02-05,87547.91,0
1,3,2022-02-05,123507.51,0
1,4,2022-02-05,60449.78,0
1,5,2022-02-05,18133.92,0
1,6,2022-02-05,36944.94,0
1,7,2022-02-05,12909.94,0
1,8,2022-02-05,50170.22,0
1,9,2022-02-05,139594.76,0
1,10,2022-02-05,137808.28,0
1,11,2022-02-05,167951.82,0
1,12,2022-02-05,39354.48,0
1,13,2022-02-05,102241.74,0
1,14,2022-02-05,147584.32,0
1,15,2022-02-05,128784.15,0
1,16,2022-02-05,202948.66,0
1,17,2022-02-05,135908.84,0
1,18,2022-02-05,128066.54,0
1,19,2022-02-05,49162.31,0
1,20,2022-02-05,56916.15,0
1,1,2022-02-12,52743.22,0
1,2,2022-02-12,23877.18,0
1,3,2022-02-12,56442.51,0
1,4,2022-02-12,58455.84,0
1,5,2022-02-12,43998.57,0
1,6,2022-02-12,48644.46,0
1,7,2022-02-12,40209.86,0
1,8,2022-02-12,35608.26,0
1,9,2022-02-12,57830.55,0
1,10,2022-02-12,115545.27,0
1,11,2022-02-12,90016.47,0
1,12,2022-02-12,55026.42,0
1,13,2022-02-12,132060.87,0
1,14,2022-02-12,109870.87,0
1,15,2022-02-12,108646.38,0
1,16,2022-02-12,168248.27,0
1,17,2022-02-12,176798.98,0
1,18,2022-02-12,38770.41,0
1,19,2022-02-12,53358.39,0
1,20,2022-02-12,103642.33,0
1,1,2022-02-19,38995.95,0
1,2,2022-02-19,98939.82,0
1,3,2022-02-19,32424.39,0
1,4,2022-02-19,46104.48,0
1,5,2022-02-19,114992.01,0
1,6,2022-02-19,38131.71,0
1,7,2022-02-19,60202.21,0
1,8,2022-02-19,25480.76,0
1,9,2022-02-19,75169.79,0
1,10,2022-02-19,123014.73,0
1,11,2022-02-19,137562.86,0
1,12,2022-02-19,93134.37,0
1,13,2022-02-19,69301.94,0
1,14,2022-02-19,161926.77,0
1,15,2022-02-19,103754.83,0
1,16,2022-02-19,67013.9,0
1,17,2022-02-19,136329.14,0
1,18,2022-02-19,72491.54,0
1,19,2022-02-19,67037.45,0
1,20,2022-02-19,184565.18,0
1,1,2022-02-26,62899.98,0
1,2,2022-02-26,101663.97,0
1,3,2022-02-26,49921.08,0
1,4,2022-02-26,117572.08,0
1,5,2022-02-26,105611.8,0
1,6,2022-02-26,106097.89,0
1,7,2022-02-26,108433.74,0
1,8,2022-02-26,132254.0,0
1,9,2022-02-26,121891.86,0
1,10,2022-02-26,165866.46,0
1,11,2022-02-26,106353.92,0
1,12,2022-02-26,121020.97,0
1,13,2022-02-26,136224.93,0
1,14,2022-02-26,102714.97,0
1,15,2022-02-26,24525.25,0
1,16,2022-02-26,200724.68,0
1,17,2022-02-26,126811.97,0
1,18,2022-02-26,157066.57,0
1,19,2022-02-26,33534.45,0
1,20,2022-02-26,81485.89,0
1,1,2022-03-05,56896.47,0
1,2,2022-03-05,88749.61,0
1,3,2022-03-05,75512.71,0
1,4,2022-03-05,101091.38,0
1,5,2022-03-05,95101.7,0
1,6,2022-03-05,128600.16,0
1,7,2022-03-05,117367.49,0
1,8,2022-03-05,38489.54,0
1,9,2022-03-05,140010.84,0
1,10,2022-03-05,59382.26,0
1,11,2022-03-05,99944.59,0
1,12,2022-03-05,152986.49,0
1,13,2022-03-05,46560.35,0
1,14,2022-03-05,150087.88,0
1,15,2022-03-05,170564.19,0
1,16,2022-03-05,159069.24,0
1,17,2022-03-05,157832.53,0
1,18,2022-03-05,63257.05,0
1,19,2022-03-05,91249.43,0
1,20,2022-03-05,160506.14,0
1,1,2022-03-12,19233.03,0
1,2,2022-03-12,95648.01,0
1,3,2022-03-12,30808.57,0
1,4,2022-03-12,70605.91,0
1,5,2022-03-12,21947.89,0
1,6,2022-03-12,32393.77,0
1,7,2022-03-12,83083.42,0
1,8,2022-03-12,92798.77,0
1,9,2022-03-12,47829.09,0
1,10,2022-03-12,28803.61,0
1,11,2022-03-12,91586.48,0
1,12,2022-03-12,138034.22,0
1,13,2022-03-12,44607.56,0
1,14,2022-03-12,123804.69,0
1,15,2022-03-12,77731.24,0
1,16,2022-03-12,174141.39,0
1,17,2022-03-12,29833.32,0
1,18,2022-03-12,23083.15,0
1,19,2022-03-12,39245.99,0
1,20,2022-03-12,164684.08,0
1,1,2022-03-19,93892.42,0
1,2,2022-03-19,89200.0,0
1,3,2022-03-19,83044.52,0
1,4,2022-03-19,15839.1,0
1,5,2022-03-19,34240.72,0
1,6,2022-03-19,120988.56,0
1,7,2022-03-19,87676.35,0
1,8,2022-03-19,71473.62,0
1,9,2022-03-19,98816.94,0
1,10,2022-03-19,37034.46,0
1,11,2022-03-19,140818.61,0
1,12,2022-03-19,110667.16,0
1,13,2022-03-19,86028.59,0
1,14,2022-03-19,86665.28,0
1,15,2022-03-19,149163.09,0
1,16,2022-03-19,66973.85,0
1,17,2022-03-19,39314.02,0
1,18,2022-03-19,49139.19,0
1,19,2022-03-19,31306.9,0
1,20,2022-03-19,112800.57,0
1,1,2022-03-26,71111.36,0
1,2,2022-03-26,100111.28,0
1,3,2022-03-26,86438.89,0
1,4,2022-03-26,72582.28,0
1,5,2022-03-26,107729.78,0
1,6,2022-03-26,115890.81,0
1,7,2022-03-26,98710.39,0
1,8,2022-03-26,18642.24,0
1,9,2022-03-26,50762.7,0
1,10,2022-03-26,58836.04,0
1,11,2022-03-26,155806.01,0
1,12,2022-03-26,82141.07,0
1,13,2022-03-26,130649.39,0
1,14,2022-03-26,143189.08,0
1,15,2022-03-26,121487.33,0
1,16,2022-03-26,18116.93,0
1,17,2022-03-26,18846.9,0
1,18,2022-03-26,162359.24,0
1,19,2022-03-26,152327.81,0
1,20,2022-03-26,118139.22,0
1,1,2022-04-02,31360.73,0
1,2,2022-04-02,17204.5,0
1,3,2022-04-02,26075.76,0
1,4,2022-04-02,72281.36,0
1,5,2022-04-02,71770.15,0
1,6,2022-04-02,121683.9,0
1,7,2022-04-02,128870.66,0
1,8,2022-04-02,85280.6,0
1,9,2022-04-02,124023.01,0
1,10,2022-04-02,124695.5,0
1,11,2022-04-02,120671.57,0
1,12,2022-04-02,78158.58,0
1,13,2022-04-02,73464.34,0
1,14,2022-04-02,56019.69,0
1,15,2022-04-02,167936.39,0
1,16,2022-04-02,155808.96,0
1,17,2022-04-02,46262.06,0
1,18,2022-04-02,61084.01,0
1,19,2022-04-02,123288.79,0
1,20,2022-04-02,94989.11,0
1,1,2022-04-09,28116.04,0
1,2,2022-04-09,86135.28,0
1,3,2022-04-09,9330.28,0
1,4,2022-04-09,46686.41,0
1,5,2022-04-09,115121.83,0
1,6,2022-04-09,100367.59,0
1,7,2022-04-09,60395.88,0
1,8,2022-04-09,130506.27,0
1,9,2022-04-09,131935.95,0
1,10,2022-04-09,19602.01,0
1,11,2022-04-09,31125.63,0
1,12,2022-04-09,70719.38,0
1,13,2022-04-09,156366.83,0
1,14,2022-04-09,148011.37,0
1,15,2022-04-09,22398.63,0
1,16,2022-04-09,101468.59,0
1,17,2022-04-09,140643.47,0
1,18,2022-04-09,65279.34,0
1,19,2022-04-09,149253.95,0
1,20,2022-04-09,86698.86,0
1,1,2022-04-16,33698.19,0
1,2,2022-04-16,47132.49,0
1,3,2022-04-16,107020.01,0
1,4,2022-04-16,107369.75,0
1,5,2022-04-16,113381.24,0
1,6,2022-04-16,118862.83,0
1,7,2022-04-16,32930.33,0
1,8,2022-04-16,126317.73,0
1,9,2022-04-16,40168.78,0
1,10,2022-04-16,128276.63,0
1,11,2022-04-16,90488.43,0
1,12,2022-04-16,48855.33,0
1,13,2022-04-16,74863.59,0
1,14,2022-04-16,82859.6,0
1,15,2022-04-16,134564.64,0
1,16,2022-04-16,117275.07,0
1,17,2022-04-16,157417.36,0
1,18,2022-04-16,86896.96,0
1,19,2022-04-16,153127.85,0
1,20,2022-04-16,166641.58,0
1,1,2022-04-23,14127.6,0
1,2,2022-04-23,45476.19,0
1,3,2022-04-23,100350.07,0
1,4,2022-04-23,85740.56,0
1,5,2022-04-23,57371.68,0
1,6,2022-04-23,32132.1,0
1,7,2022-04-23,22872.85,0
1,8,2022-04-23,40832.65,0
1,9,2022-04-23,44489.2,0
1,10,2022-04-23,63605.51,0
1,11,2022-04-23,38149.59,0
1,12,2022-04-23,34912.34,0
1,13,2022-04-23,143257.14,0
1,14,2022-04-23,53705.0,0
1,15,2022-04-23,106488.2,0
1,16,2022-04-23,48657.23,0
1,17,2022-04-23,100936.89,0
1,18,2022-04-23,65420.49,0
1,19,2022-04-23,32348.41,0
1,20,2022-04-23,202424.17,0
1,1,2022-04-30,50748.35,0
1,2,2022-04-30,47179.71,0
1,3,2022-04-30,29662.65,0
1,4,2022-04-30,63108.11,0
1,5,2022-04-30,81874.65,0
1,6,2022-04-30,46501.6,0
